Entity,Code,Year,"GDP, PPP (constant 2017 international $)"
Serbia,SRB,2021,1.35732E+11
Seychelles,SYC,2021,2772114434
Sierra Leone,SLE,2021,13598154894
Singapore,SGP,2021,5.87573E+11
Sint Maarten (Dutch part),SXM,2021,1636767038
Slovakia,SVK,2021,1.77105E+11
Slovenia,SVN,2021,84543157561
Solomon Islands,SLB,2021,1696947358
Somalia,SOM,2021,24885505704
South Africa,ZAF,2021,7.92161E+11
South Asia (WB),,2021,1.20996E+13
South Korea,KOR,2021,2.29229E+12
Spain,ESP,2021,1.81694E+12
Sri Lanka,LKA,2021,2.93581E+11
Sub-Saharan Africa (WB),,2021,4.40124E+12
Sudan,SDN,2021,1.6898E+11
Suriname,SUR,2021,9079067895
Sweden,SWE,2021,5.64124E+11
Switzerland,CHE,2021,6.18413E+11
Tajikistan,TJK,2021,38127261766
Tanzania,TZA,2021,1.59334E+11
Thailand,THA,2021,1.22346E+12
Togo,TGO,2021,18420910963
Tonga,TON,2021,651258565
Trinidad and Tobago,TTO,2021,35145563473
Tunisia,TUN,2021,1.27485E+11
Turkey,TUR,2021,2.66933E+12
Turkmenistan,TKM,2021,93205124313
Turks and Caicos Islands,TCA,2021,891612551
Tuvalu,TUV,2021,51587720
Uganda,UGA,2021,1.03007E+11
Ukraine,UKR,2021,5.35815E+11
United Arab Emirates,ARE,2021,6.55823E+11
United Kingdom,GBR,2021,3.05423E+12
United States,USA,2021,2.11291E+13
Upper-middle-income countries,,2021,4.89549E+13
Uruguay,URY,2021,79685407343
Uzbekistan,UZB,2021,2.72355E+11
Vanuatu,VUT,2021,893741210
Vietnam,VNM,2021,1.03591E+12
World,OWID_WRL,2021,1.34822E+14
Zambia,ZMB,2021,64016350789
Zimbabwe,ZWE,2021,33828615209
