Entity,Code,Year,Cantril ladder score
Vietnam,VNM,2016,5.074
Vietnam,VNM,2017,5.1032
Vietnam,VNM,2018,5.1753
Vietnam,VNM,2019,5.3535
Vietnam,VNM,2020,5.4108
Vietnam,VNM,2021,5.485
Vietnam,VNM,2022,5.7633
World,OWID_WRL,2015,5.25061
World,OWID_WRL,2016,5.2296824
World,OWID_WRL,2017,5.1762795
World,OWID_WRL,2018,5.151496
World,OWID_WRL,2019,5.081043
World,OWID_WRL,2020,5.1670065
World,OWID_WRL,2021,5.1841474
World,OWID_WRL,2022,5.2261734
Yemen,YEM,2015,3.724
Yemen,YEM,2016,3.593
Yemen,YEM,2017,3.3549
Yemen,YEM,2018,3.3798
Yemen,YEM,2019,3.5274
Yemen,YEM,2020,3.6579
Yemen,YEM,2021,4.1969
Zambia,ZMB,2015,4.795
Zambia,ZMB,2016,4.514
Zambia,ZMB,2017,4.3771
Zambia,ZMB,2018,4.1066
Zambia,ZMB,2019,3.7594
Zambia,ZMB,2020,4.0734
Zambia,ZMB,2021,3.7598
Zambia,ZMB,2022,3.9822
Zimbabwe,ZWE,2015,4.193
Zimbabwe,ZWE,2016,3.875
Zimbabwe,ZWE,2017,3.6923
Zimbabwe,ZWE,2018,3.6632
Zimbabwe,ZWE,2019,3.2992
Zimbabwe,ZWE,2020,3.1448
Zimbabwe,ZWE,2021,2.9951
Zimbabwe,ZWE,2022,3.2035
